filename,basename,toolid,toolmode,parser_version,runid,start,duration,exit_code,findings,infos,errors,fails
smartbugs-curated/dataset/reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,securify,solidity,2022/11/17,20241221_0717,1734765961.1540985,182.8034176826477,0,"{DAO,MissingInputValidation,TODTransfer}",{},{},{}
smartbugs-curated/dataset/unchecked_low_level_calls/0x07f7ecb66d788ab01dc93b9b71a88401de7d0f2e.sol,0x07f7ecb66d788ab01dc93b9b71a88401de7d0f2e.sol,securify,solidity,2022/11/17,20241221_0717,1734766047.432973,48.64536643028259,0,"{DAO,TODAmount,UnhandledException}",{},{},{}
smartbugs-curated/dataset/unchecked_low_level_calls/0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9.sol,0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9.sol,securify,solidity,2022/11/17,20241221_0717,1734765780.2609935,20.918089866638184,0,"{MissingInputValidation,UnhandledException}",{},{},{}
smartbugs-curated/dataset/unchecked_low_level_calls/0x19cf8481ea15427a98ba3cdd6d9e14690011ab10.sol,0x19cf8481ea15427a98ba3cdd6d9e14690011ab10.sol,securify,solidity,2022/11/17,20241221_0717,1734765576.9875796,201.34794878959656,0,"{MissingInputValidation,TODAmount,UnhandledException}",{},{},{}
smartbugs-curated/dataset/reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4.sol,0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4.sol,securify,solidity,2022/11/17,20241221_0717,1734765673.7083347,206.11125707626343,0,"{DAO,MissingInputValidation}",{},{},{}
smartbugs-curated/dataset/unchecked_low_level_calls/0x2972d548497286d18e92b5fa1f8f9139e5653fd2.sol,0x2972d548497286d18e92b5fa1f8f9139e5653fd2.sol,securify,solidity,2022/11/17,20241221_0717,1734765983.7231607,41.609095096588135,0,{UnhandledException},{},{},{}
smartbugs-curated/dataset/unchecked_low_level_calls/0x39cfd754c85023648bf003bea2dd498c5612abfa.sol,0x39cfd754c85023648bf003bea2dd498c5612abfa.sol,securify,solidity,2022/11/17,20241221_0717,1734765441.9605749,252.3518350124359,0,"{MissingInputValidation,UnhandledException}",{},{},{}
smartbugs-curated/dataset/unchecked_low_level_calls/0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01.sol,0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01.sol,securify,solidity,2022/11/17,20241221_0717,1734765897.022306,226.3616020679474,0,"{MissingInputValidation,UnhandledException}",{},{},{}
smartbugs-curated/dataset/unchecked_low_level_calls/0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859.sol,0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859.sol,securify,solidity,2022/11/17,20241221_0717,1734766020.9848485,72.47120261192322,0,"{MissingInputValidation,TODAmount,UnhandledException}",{},{},{}
smartbugs-curated/dataset/unchecked_low_level_calls/0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2.sol,0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2.sol,securify,solidity,2022/11/17,20241221_0717,1734765510.8721626,85.54048705101013,0,"{TODAmount,TODReceiver,UnhandledException}",{},{},{}
smartbugs-curated/dataset/unchecked_low_level_calls/0x4051334adc52057aca763453820cb0e045076ef3.sol,0x4051334adc52057aca763453820cb0e045076ef3.sol,securify,solidity,2022/11/17,20241221_0717,1734765598.2527926,50.178948163986206,0,{UnhandledException},{},{},{}
smartbugs-curated/dataset/reentrancy/0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol,0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol,securify,solidity,2022/11/17,20241221_0717,1734766082.6712067,128.83607459068298,0,"{DAO,MissingInputValidation,TODTransfer}",{},{},{}
smartbugs-curated/dataset/unchecked_low_level_calls/0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c.sol,0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c.sol,securify,solidity,2022/11/17,20241221_0717,1734766106.571992,59.14471411705017,0,{UnhandledException},{},{},{}
smartbugs-curated/dataset/unchecked_low_level_calls/0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152.sol,0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152.sol,securify,solidity,2022/11/17,20241221_0717,1734765794.1845455,45.72230887413025,0,{UnhandledException},{},{},{}
smartbugs-curated/dataset/reentrancy/0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,securify,solidity,2022/11/17,20241221_0717,1734765624.734045,182.4048192501068,0,"{DAO,MissingInputValidation,TODTransfer}",{},{},{}
smartbugs-curated/dataset/unchecked_low_level_calls/0x524960d55174d912768678d8c606b4d50b79d7b1.sol,0x524960d55174d912768678d8c606b4d50b79d7b1.sol,securify,solidity,2022/11/17,20241221_0717,1734765660.2986531,36.899723291397095,0,{UnhandledException},{},{},{}
smartbugs-curated/dataset/unchecked_low_level_calls/0x52d2e0f9b01101a59b38a3d05c80b7618aeed984.sol,0x52d2e0f9b01101a59b38a3d05c80b7618aeed984.sol,securify,solidity,2022/11/17,20241221_0717,1734765441.9635694,59.139997720718384,0,"{TODAmount,UnhandledException}",{},{},{}
smartbugs-curated/dataset/reentrancy/0x561eac93c92360949ab1f1403323e6db345cbf31.sol,0x561eac93c92360949ab1f1403323e6db345cbf31.sol,securify,solidity,2022/11/17,20241221_0717,1734765828.796658,192.17816424369812,0,"{DAO,MissingInputValidation,TODTransfer}",{},{},{}
smartbugs-curated/dataset/unchecked_low_level_calls/0x5aa88d2901c68fda244f1d0584400368d2c8e739.sol,0x5aa88d2901c68fda244f1d0584400368d2c8e739.sol,securify,solidity,2022/11/17,20241221_0717,1734765441.9455812,81.93015646934509,0,"{MissingInputValidation,TODAmount,UnhandledException}",{},{},{}
smartbugs-curated/dataset/unchecked_low_level_calls/0x610495793564aed0f9c7fc48dc4c7c9151d34fd6.sol,0x610495793564aed0f9c7fc48dc4c7c9151d34fd6.sol,securify,solidity,2022/11/17,20241221_0717,1734765801.179976,86.65710973739624,0,"{TODAmount,UnhandledException}",{},{},{}
